account_id,customer_segment,arr_band,renewal_status,support_ticket_count,last_login_days,product_usage_score,contract_value
ACC-001,enterprise,200k-500k,at_risk,12,45,0.62,310000
ACC-002,mid_market,50k-200k,healthy,3,7,0.85,120000
ACC-003,enterprise,500k+,healthy,5,14,0.91,720000
ACC-004,smb,10k-50k,at_risk,18,90,0.31,35000
ACC-005,mid_market,50k-200k,churned,24,180,0.12,95000
ACC-006,enterprise,200k-500k,healthy,2,5,0.88,450000
ACC-007,smb,10k-50k,at_risk,9,60,0.44,28000
ACC-008,mid_market,50k-200k,healthy,1,3,0.79,155000
ACC-009,enterprise,500k+,at_risk,15,30,,680000
ACC-010,smb,<10k,churned,22,200,0.08,
ACC-011,mid_market,50k-200k,healthy,4,12,0.76,130000
ACC-012,enterprise,200k-500k,at_risk,11,55,0.51,375000
ACC-013,smb,10k-50k,healthy,2,8,0.67,42000
ACC-014,mid_market,50k-200k,at_risk,14,75,,110000
ACC-015,enterprise,500k+,healthy,3,10,0.93,810000
ACC-016,smb,<10k,at_risk,19,120,0.19,
ACC-017,mid_market,50k-200k,healthy,6,20,0.72,145000
ACC-004,smb,10k-50k,at_risk,18,90,0.31,35000
