region,product_line,q1_revenue,q2_revenue,q3_revenue,q4_revenue,units_sold,churn_rate,customer_segment
North,Enterprise,420000,455000,438000,501000,312,0.08,B2B
South,Enterprise,310000,298000,,321000,241,0.11,B2B
East,SMB,185000,192000,178000,204000,893,0.19,B2C
West,SMB,162000,171000,169000,,754,0.22,B2C
North,SMB,98000,103000,110000,118000,1204,0.15,B2C
South,Consumer,72000,68000,75000,81000,3201,0.31,B2C
East,Enterprise,290000,310000,305000,340000,198,0.07,B2B
West,Enterprise,250000,265000,260000,280000,175,0.09,B2B
North,Consumer,55000,58000,61000,64000,2890,0.28,B2C
South,SMB,140000,148000,152000,159000,687,0.17,B2C
East,Consumer,48000,51000,,57000,2654,0.33,B2C
West,Consumer,41000,43000,46000,49000,2341,0.29,B2C
North,Enterprise,420000,455000,438000,501000,312,0.08,B2B
